block_name,cluster,label,rf_prediction,rf_confidence,final_prediction,solar_mean,wind_mean,pop_mean,dist_roads_mean,dist_trans_mean,dist_sub_mean,constraint_pct,district
Chhatrapur,0,HYBRID,HYBRID,0.9679073102525864,HYBRID,3.931141,5.488499,935.0692,1.219861,5.805908,18.00827,55.5276,Ganjam
Chhendipada,1,SOLAR,SOLAR,0.990660057841816,SOLAR,4.138825,3.444739,238.1244,4.798964,12.544711,41.709224,85.89909999999999,Anugul
Chiketi,2,SOLAR,SOLAR,0.8771959463212451,SOLAR,3.74854,4.154696,520.6306,2.138457,41.978325,46.820836,62.3162,Ganjam
Chilika,0,HYBRID,HYBRID,0.8458070999263338,HYBRID,4.135904,4.848356,900.418,4.425323,11.843973,30.245397,45.9554,Khurda
Chitrakonda,3,SOLAR,SOLAR,0.9568287650149846,SOLAR,3.958887,3.293562,65.533,2.782946,46.285529,72.026625,24.6762,Malkanagiri
Cuttack Sadar,0,HYBRID,HYBRID,0.9186866898246536,HYBRID,4.059111,4.639534,2685.6191,0.938888,7.14456,17.015503,40.4899,Cuttack
Dabugaon,1,SOLAR,SOLAR,0.973492691320106,SOLAR,4.35797,4.418573,205.8085,3.976209,16.964701,34.453845,96.0274,Nawarangpur
Dampada,1,SOLAR,SOLAR,0.955513375965526,SOLAR,4.066676,4.244705,444.5339,3.305404,21.690206,29.675241,72.7686,Cuttack
Danagadi,1,SOLAR,SOLAR,0.9863355570197914,SOLAR,4.081759,3.812524,419.4458,3.95359,7.301504,12.843972,81.9265,Jajpur
Daringbadi,3,SOLAR,SOLAR,0.9586448348602832,SOLAR,4.159532,4.272956,87.9725,4.104126,128.001215,119.126069,39.668,Kandhamal
Dasamantapur,1,SOLAR,SOLAR,0.8819767468840592,SOLAR,4.278608,4.754337,110.5139,2.736465,33.470449,57.136242,43.9824,Koraput
Dasapalla,3,SOLAR,SOLAR,0.990294446844036,SOLAR,4.069088,3.113619,122.4811,16.546711,48.479597,59.332358,52.5074,Nayagarh
Dasarathpur,0,HYBRID,HYBRID,0.934065967216518,HYBRID,4.057833,4.720427,1052.8368,2.841779,59.373058,15.610283,99.9724,Jajpur
Delanga,0,HYBRID,HYBRID,0.9652454551268954,HYBRID,4.06847,4.900119,736.4641,0.619416,7.754526,21.010386,98.2011,Puri
Deogan,1,SOLAR,SOLAR,0.9881643724726332,SOLAR,4.248328,3.854709,255.0395,2.796959,22.646789,30.913431,90.5988,Bolangir
Derabishi,0,HYBRID,HYBRID,0.9725714906387026,HYBRID,4.046383,4.850838,806.9233,3.013234,14.551822,20.121139,88.51050000000001,Kendrapada
Dhamanagar,0,SOLAR,SOLAR,0.8250179896281316,SOLAR,4.068083,4.488502,837.1203,3.486017,35.63455,15.424536,94.8354,Bhadrak
Dhanakauda(Sadar),1,SOLAR,SOLAR,0.961067126724978,SOLAR,4.242582,3.753219,713.0902,2.275612,9.031862,16.741478,43.5062,Sambalpur
Dharakote,3,SOLAR,SOLAR,0.9806159163544734,SOLAR,4.073546,3.370865,399.2306,5.117822,29.259079,61.517228,55.608900000000006,Ganjam
Dharmagarh,1,SOLAR,SOLAR,0.9902642005989696,SOLAR,4.19522,3.499607,368.6362,3.514312,48.163146,34.68742,89.5763,Kalahandi
Dharmasala,0,SOLAR,SOLAR,0.832022211475732,SOLAR,4.068761,4.447199,738.7211,2.123645,8.843764,23.693059,72.038,Jajpur
Dhenkanal Sadar,1,SOLAR,SOLAR,0.8816321160749351,SOLAR,4.062675,3.946762,555.9357,3.194203,18.460654,32.776141,78.6339,Dhenkanal
Digapahandi,1,SOLAR,SOLAR,0.9652119726417252,SOLAR,4.061796,3.362619,424.0799,3.00831,18.718276,39.03665,62.7804,Ganjam
Dunguripali,1,SOLAR,SOLAR,0.9893416217642914,SOLAR,4.249958,3.75749,460.9635,6.236185,27.552631,31.02944,92.3213,Sonepur
Erasama,2,HYBRID,HYBRID,0.9312678649529214,HYBRID,3.670858,5.725815,481.153,2.939184,61.976678,23.451486,81.3867,Jagatsingpur
Firingia,3,SOLAR,SOLAR,0.9910030724939892,SOLAR,4.228818,4.144733,83.7717,16.085752,96.512027,60.573277,49.7661,Kandhamal
G.Udayagiri,3,SOLAR,SOLAR,0.9845493744442508,SOLAR,4.122437,4.388458,177.6347,6.08049,29.996219,83.236529,43.9053,Kandhamal
Gaisilat,1,SOLAR,SOLAR,0.9864162465410036,SOLAR,4.232866,3.739039,253.957,1.852788,58.820734,64.475048,77.49080000000001,Baragarh
Gania,3,SOLAR,SOLAR,0.9760053961393564,SOLAR,4.075619,3.107284,84.6194,19.739457,56.308717,61.688451,14.4079,Nayagarh
Ganjam,0,HYBRID,HYBRID,0.9113960491258988,HYBRID,4.064812,5.349436,540.3068,2.176574,8.406022,26.798825,57.7982,Ganjam
Garadpur,0,HYBRID,HYBRID,0.9837300998331022,HYBRID,4.045305,5.079366,875.4517,2.245423,35.417463,24.477162,70.4257,Kendrapada
Ghasipura,1,SOLAR,SOLAR,0.9753994030294107,SOLAR,4.098224,3.504619,391.8936,6.120608,27.036178,31.713374,93.9153,Keonjhar
Ghatagaon,3,SOLAR,SOLAR,0.9763575867958972,SOLAR,4.147772,3.503929,191.988,6.320597,49.567019,81.58976,92.5745,Keonjhar
Golamunda,1,SOLAR,SOLAR,0.9951907919110698,SOLAR,4.237524,3.814987,255.1286,5.986412,46.430921,44.94653,69.95609999999999,Kalahandi
Gondia,1,SOLAR,SOLAR,0.9673609813458344,SOLAR,4.071922,4.023937,293.8806,5.60966,41.764458,29.851916,78.9072,Dhenkanal
Gop,0,HYBRID,HYBRID,0.972536641378274,HYBRID,3.916445,5.571274,511.2711,0.758302,26.242153,22.596436,85.6523,Puri
Gopabandhunagar,1,SOLAR,SOLAR,0.912380935511897,SOLAR,4.048376,4.293581,438.7626,2.086956,40.186589,24.002078,99.6067,Mayurbhanj
Govindapur,1,SOLAR,SOLAR,0.9931944284740944,SOLAR,4.246063,3.387299,175.214,4.937934,44.780365,51.714569,85.5599,Sambalpur
Gudari,3,SOLAR,SOLAR,0.9792271781530032,SOLAR,4.140213,3.097076,102.2452,2.2568,46.845523,61.978166,40.5402,Rayagada
Gudvella,1,SOLAR,SOLAR,0.9892978768428392,SOLAR,4.242643,4.067333,301.0219,2.507624,33.523178,38.920882,77.1218,Bolangir
Gumma,3,SOLAR,SOLAR,0.9846764962576742,SOLAR,4.121675,3.160801,298.3762,5.403929,39.2773,63.557572,36.424800000000005,Gajapati
Gunupur,3,SOLAR,SOLAR,0.9774158515837162,SOLAR,4.046109,3.081466,179.2381,2.197613,28.953684,80.734382,50.5938,Rayagada
Gurundia,3,SOLAR,SOLAR,0.99553093491361,SOLAR,4.17379,3.256616,70.4153,18.837508,64.109583,65.476287,56.2163,Sundargarh
Harbhanga,3,SOLAR,SOLAR,0.9956156323591256,SOLAR,4.123514,3.451799,127.4999,6.97202,71.491123,60.383981,45.432,Boudh
Harichandanpur,3,SOLAR,SOLAR,0.993648694358427,SOLAR,4.114511,3.505253,143.2077,13.012008,55.938354,69.31371,77.1108,Keonjhar
Hatadihi,1,SOLAR,SOLAR,0.9707597596404074,SOLAR,4.082229,3.681385,463.3401,5.968774,52.464131,25.192085,77.16499999999999,Keonjhar
Hemagiri,1,SOLAR,SOLAR,0.98480614488769,SOLAR,4.193624,3.606084,109.9668,6.332264,38.601815,33.435726,88.8981,Sundargarh
Hindol,1,SOLAR,SOLAR,0.990741243062798,SOLAR,4.065437,3.755993,244.3891,5.446096,26.805697,31.586775,75.66199999999999,Dhenkanal
Hinjilicut,0,SOLAR,SOLAR,0.885175432069318,SOLAR,4.131386,4.373369,825.0409,1.202485,14.835102,33.999385,71.40100000000001,Ganjam
Jagannathprasad,3,SOLAR,SOLAR,0.994303203241212,SOLAR,4.088978,3.201478,160.8376,9.629647,15.893173,91.3947,65.41329999999999,Ganjam
Jagatsinghpur,0,HYBRID,HYBRID,0.9821339343437938,HYBRID,4.05366,5.034358,1008.0838,1.63534,16.110403,16.471319,91.8411,Jagatsingpur
Jaipatna,1,SOLAR,SOLAR,0.9864830748880096,SOLAR,4.236326,3.982982,339.4385,5.006439,15.318674,37.883802,76.8669,Kalahandi
Jajpur,0,SOLAR,SOLAR,0.8620150865171412,SOLAR,4.079716,4.54383,1040.5065,2.609662,18.936252,18.974789,70.0836,Jajpur
Jaleswar,2,HYBRID,HYBRID,0.9143367160768266,HYBRID,3.709187,4.698556,683.2601,3.747256,31.897485,34.014325,86.42020000000001,Baleswar
Jamankira,3,SOLAR,SOLAR,0.9958170705730732,SOLAR,4.209988,3.65812,123.1053,6.094147,83.488213,85.519452,73.598,Sambalpur
Jamuda,1,SOLAR,SOLAR,0.961831447766912,SOLAR,4.012751,3.634038,359.0591,1.90764,40.459215,59.792183,79.28450000000001,Mayurbhanj
